color spine width satell weight
3 3 28.3 8 3.050
4 3 22.5 0 1.550
2 1 26.0 9 2.300
4 3 24.8 0 2.100
4 3 26.0 4 2.600
3 3 23.8 0 2.100
2 1 26.5 0 2.350
4 2 24.7 0 1.900
3 1 23.7 0 1.950
4 3 25.6 0 2.150
4 3 24.3 0 2.150
3 3 25.8 0 2.650
3 3 28.2 11 3.050
5 2 21.0 0 1.850
3 1 26.0 14 2.300
2 1 27.1 8 2.950
3 3 25.2 1 2.000
3 3 29.0 1 3.000
5 3 24.7 0 2.200
3 3 27.4 5 2.700
3 2 23.2 4 1.950
2 2 25.0 3 2.300
3 1 22.5 1 1.600
4 3 26.7 2 2.600
5 3 25.8 3 2.000
5 3 26.2 0 1.300
3 3 28.7 3 3.150
3 1 26.8 5 2.700
5 3 27.5 0 2.600
3 3 24.9 0 2.100
2 1 29.3 4 3.200
2 3 25.8 0 2.600
3 2 25.7 0 2.000
3 1 25.7 8 2.000
3 1 26.7 5 2.700
5 3 23.7 0 1.850
3 3 26.8 0 2.650
3 3 27.5 6 3.150
5 3 23.4 0 1.900
3 3 27.9 6 2.800
4 3 27.5 3 3.100
2 1 26.1 5 2.800
2 1 27.7 6 2.500
3 1 30.0 5 3.300
4 1 28.5 9 3.250
4 3 28.9 4 2.800
3 3 28.2 6 2.600
3 3 25.0 4 2.100
3 3 28.5 3 3.000
3 1 30.3 3 3.600
5 3 24.7 5 2.100
3 3 27.7 5 2.900
2 1 27.4 6 2.700
3 3 22.9 4 1.600
3 1 25.7 5 2.000
3 3 28.3 15 3.000
3 3 27.2 3 2.700
4 3 26.2 3 2.300
3 1 27.8 0 2.750
5 3 25.5 0 2.250
4 3 27.1 0 2.550
4 3 24.5 5 2.050
4 1 27.0 3 2.450
3 3 26.0 5 2.150
3 3 28.0 1 2.800
3 3 30.0 8 3.050
3 3 29.0 10 3.200
3 3 26.2 0 2.400
3 1 26.5 0 1.300
3 3 26.2 3 2.400
4 3 25.6 7 2.800
4 3 23.0 1 1.650
4 3 23.0 0 1.800
3 3 25.4 6 2.250
4 3 24.2 0 1.900
3 2 22.9 0 1.600
4 2 26.0 3 2.200
3 3 25.4 4 2.250
4 3 25.7 0 1.200
3 3 25.1 5 2.100
4 2 24.5 0 2.250
5 3 27.5 0 2.900
4 3 23.1 0 1.650
4 1 25.9 4 2.550
3 3 25.8 0 2.300
5 3 27.0 3 2.250
3 3 28.5 0 3.050
5 1 25.5 0 2.750
5 3 23.5 0 1.900
3 2 24.0 0 1.700
3 1 29.7 5 3.850
3 1 26.8 0 2.550
5 3 26.7 0 2.450
3 1 28.7 0 3.200
4 3 23.1 0 1.550
3 1 29.0 1 2.800
4 3 25.5 0 2.250
4 3 26.5 1 1.967
4 3 24.5 1 2.200
4 3 28.5 1 3.000
3 3 28.2 1 2.867
3 3 24.5 1 1.600
3 3 27.5 1 2.550
3 2 24.7 4 2.550
3 1 25.2 1 2.000
4 3 27.3 1 2.900
3 3 26.3 1 2.400
3 3 29.0 1 3.100
3 3 25.3 2 1.900
3 3 26.5 4 2.300
3 3 27.8 3 3.250
3 3 27.0 6 2.500
4 3 25.7 0 2.100
3 3 25.0 2 2.100
3 3 31.9 2 3.325
5 3 23.7 0 1.800
5 3 29.3 12 3.225
4 3 22.0 0 1.400
3 3 25.0 5 2.400
4 3 27.0 6 2.500
4 3 23.8 6 1.800
2 1 30.2 2 3.275
4 3 26.2 0 2.225
3 3 24.2 2 1.650
3 3 27.4 3 2.900
3 2 25.4 0 2.300
4 3 28.4 3 3.200
5 3 22.5 4 1.475
3 3 26.2 2 2.025
3 1 24.9 6 2.300
2 2 24.5 6 1.950
3 3 25.1 0 1.800
3 1 28.0 4 2.900
5 3 25.8 10 2.250
3 3 27.9 7 3.050
3 3 24.9 0 2.200
3 1 28.4 5 3.100
4 3 27.2 5 2.400
3 2 25.0 6 2.250
3 3 27.5 6 2.625
3 1 33.5 7 5.200
3 3 30.5 3 3.325
4 3 29.0 3 2.925
3 1 24.3 0 2.000
3 3 25.8 0 2.400
5 3 25.0 8 2.100
3 1 31.7 4 3.725
3 3 29.5 4 3.025
4 3 24.0 10 1.900
3 3 30.0 9 3.000
3 3 27.6 4 2.850
3 3 26.2 0 2.300
3 1 23.1 0 2.000
3 1 22.9 0 1.600
5 3 24.5 0 1.900
3 3 24.7 4 1.950
3 3 28.3 0 3.200
3 3 23.9 2 1.850
4 3 23.8 0 1.800
4 2 29.8 4 3.500
3 3 26.5 4 2.350
3 3 26.0 3 2.275
3 3 28.2 8 3.050
5 3 25.7 0 2.150
3 3 26.5 7 2.750
3 3 25.8 0 2.200
4 3 24.1 0 1.800
4 3 26.2 2 2.175
4 3 26.1 3 2.750
4 3 29.0 4 3.275
2 1 28.0 0 2.625
5 3 27.0 0 2.625
3 2 24.5 0 2.000
