Month,Arrivals
  2023 Jun,1129295
  2023 May,1112486
  2023 Apr,1128594
  2023 Mar,1021032
  2023 Feb,957822
  2023 Jan,931670
  2022 Dec,931441
  2022 Nov,816340
  2022 Oct,816833
  2022 Sep,782215
  2022 Aug,728744
  2022 Jul,726739
  2022 Jun,543733
  2022 May,418458
  2022 Apr,295095
  2022 Mar,121207
  2022 Feb,67765
  2022 Jan,57174
  2021 Dec,92796
  2021 Nov,41179
  2021 Oct,24006
  2021 Sep,19009
  2021 Aug,15887
  2021 Jul,18517
  2021 Jun,10029
  2021 May,14190
  2021 Apr,25737
  2021 Mar,27202
  2021 Feb,18141
  2021 Jan,23366
  2020 Dec,24170
  2020 Nov,14749
  2020 Oct,13399
  2020 Sep,9500
  2020 Aug,8912
  2020 Jul,6843
  2020 Jun,2171
  2020 May,880
  2020 Apr,750
  2020 Mar,240001
  2020 Feb,732966
  2020 Jan,1688102
  2019 Dec,1724961
  2019 Nov,1533668
  2019 Oct,1530479
  2019 Sep,1463543
  2019 Aug,1736102
  2019 Jul,1802593
  2019 Jun,1551847
  2019 May,1487791
  2019 Apr,1596724
  2019 Mar,1564664
  2019 Feb,1499051
  2019 Jan,1624593
  2018 Dec,1603217
  2018 Nov,1406985
  2018 Oct,1467380
  2018 Sep,1415149
  2018 Aug,1683122
  2018 Jul,1732896
  2018 Jun,1544679
  2018 May,1470891
  2018 Apr,1544248
  2018 Mar,1584406
  2018 Feb,1491970
  2018 Jan,1563359
  2017 Dec,1569616
  2017 Nov,1397330
  2017 Oct,1402299
  2017 Sep,1320050
  2017 Aug,1559283
  2017 Jul,1632135
  2017 Jun,1387601
  2017 May,1363897
  2017 Apr,1470750
  2017 Mar,1480161
  2017 Feb,1361010
  2017 Jan,1480479
  2016 Dec,1506134
  2016 Nov,1235433
  2016 Oct,1237675
  2016 Sep,1144063
  2016 Aug,1481876
  2016 Jul,1622405
  2016 Jun,1270531
  2016 May,1357543
  2016 Apr,1393972
  2016 Mar,1406607
  2016 Feb,1335097
  2016 Jan,1412123
  2015 Dec,1424978
  2015 Nov,1203992
  2015 Oct,1246947
  2015 Sep,1131976
  2015 Aug,1445062
  2015 Jul,1519233
  2015 Jun,1184747
