"Date","Start (ET)","Visitor/Neutral","PTS...4","Home/Neutral","PTS...6","...7","...8","Attend.","Arena","Notes","Denver"
"Wed, Oct 19, 2022","9:00p","Denver Nuggets",102,"Utah Jazz",123,"Box Score",NA,18206,"Vivint Arena",NA,102
"Fri, Oct 21, 2022","10:00p","Denver Nuggets",128,"Golden State Warriors",123,"Box Score",NA,18064,"Chase Center",NA,128
"Sat, Oct 22, 2022","9:00p","Oklahoma City Thunder",117,"Denver Nuggets",122,"Box Score",NA,19983,"Ball Arena",NA,122
"Mon, Oct 24, 2022","10:00p","Denver Nuggets",110,"Portland Trail Blazers",135,"Box Score",NA,18111,"Moda Center",NA,110
"Wed, Oct 26, 2022","10:00p","Los Angeles Lakers",99,"Denver Nuggets",110,"Box Score",NA,19520,"Ball Arena",NA,110
"Fri, Oct 28, 2022","9:00p","Utah Jazz",101,"Denver Nuggets",117,"Box Score",NA,19560,"Ball Arena",NA,117
"Sun, Oct 30, 2022","9:30p","Denver Nuggets",110,"Los Angeles Lakers",121,"Box Score",NA,18997,"Crypto.com Arena",NA,110
"Thu, Nov 3, 2022","8:00p","Denver Nuggets",122,"Oklahoma City Thunder",110,"Box Score",NA,13791,"Paycom Center",NA,122
"Sat, Nov 5, 2022","9:00p","San Antonio Spurs",101,"Denver Nuggets",126,"Box Score",NA,19641,"Ball Arena",NA,126
"Mon, Nov 7, 2022","9:30p","Denver Nuggets",115,"San Antonio Spurs",109,"Box Score",NA,11574,"AT&T Center",NA,115
"Wed, Nov 9, 2022","7:00p","Denver Nuggets",122,"Indiana Pacers",119,"Box Score",NA,14069,"Gainbridge Fieldhouse",NA,122
"Fri, Nov 11, 2022","7:00p","Denver Nuggets",112,"Boston Celtics",131,"Box Score",NA,19156,"TD Garden",NA,112
"Sun, Nov 13, 2022","8:00p","Denver Nuggets",126,"Chicago Bulls",103,"Box Score",NA,21602,"United Center",NA,126
"Wed, Nov 16, 2022","10:00p","New York Knicks",106,"Denver Nuggets",103,"Box Score",NA,18210,"Ball Arena",NA,103
"Fri, Nov 18, 2022","8:30p","Denver Nuggets",99,"Dallas Mavericks",127,"Box Score",NA,20135,"American Airlines Center",NA,99
"Sun, Nov 20, 2022","7:30p","Denver Nuggets",98,"Dallas Mavericks",97,"Box Score",NA,20244,"American Airlines Center",NA,98
"Tue, Nov 22, 2022","9:00p","Detroit Pistons",110,"Denver Nuggets",108,"Box Score",NA,19635,"Ball Arena",NA,108
"Wed, Nov 23, 2022","8:00p","Denver Nuggets",131,"Oklahoma City Thunder",126,"Box Score","OT",13656,"Paycom Center",NA,131
"Fri, Nov 25, 2022","10:30p","Denver Nuggets",114,"Los Angeles Clippers",104,"Box Score",NA,16559,"Crypto.com Arena",NA,114
"Mon, Nov 28, 2022","9:00p","Houston Rockets",113,"Denver Nuggets",129,"Box Score",NA,16027,"Ball Arena",NA,129
"Wed, Nov 30, 2022","9:00p","Houston Rockets",100,"Denver Nuggets",120,"Box Score",NA,16286,"Ball Arena",NA,120
"Fri, Dec 2, 2022","7:30p","Denver Nuggets",109,"Atlanta Hawks",117,"Box Score",NA,16974,"State Farm Arena",NA,109
"Sun, Dec 4, 2022","3:30p","Denver Nuggets",106,"New Orleans Pelicans",121,"Box Score",NA,15658,"Smoothie King Center",NA,106
"Tue, Dec 6, 2022","10:00p","Dallas Mavericks",116,"Denver Nuggets",115,"Box Score",NA,19520,"Ball Arena",NA,115
"Thu, Dec 8, 2022","10:00p","Denver Nuggets",121,"Portland Trail Blazers",120,"Box Score",NA,18189,"Moda Center",NA,121
"Sat, Dec 10, 2022","9:00p","Utah Jazz",110,"Denver Nuggets",115,"Box Score",NA,19636,"Ball Arena",NA,115
"Wed, Dec 14, 2022","9:00p","Washington Wizards",128,"Denver Nuggets",141,"Box Score",NA,19550,"Ball Arena",NA,141
"Fri, Dec 16, 2022","10:00p","Denver Nuggets",108,"Los Angeles Lakers",126,"Box Score",NA,18505,"Crypto.com Arena",NA,108
"Sun, Dec 18, 2022","8:00p","Charlotte Hornets",115,"Denver Nuggets",119,"Box Score",NA,19235,"Ball Arena",NA,119
"Tue, Dec 20, 2022","10:00p","Memphis Grizzlies",91,"Denver Nuggets",105,"Box Score",NA,19605,"Ball Arena",NA,105
"Fri, Dec 23, 2022","9:00p","Portland Trail Blazers",107,"Denver Nuggets",120,"Box Score",NA,19619,"Ball Arena",NA,120
"Sun, Dec 25, 2022","10:30p","Phoenix Suns",125,"Denver Nuggets",128,"Box Score","OT",19642,"Ball Arena",NA,128
"Tue, Dec 27, 2022","10:00p","Denver Nuggets",113,"Sacramento Kings",106,"Box Score",NA,17937,"Golden 1 Center",NA,113
"Wed, Dec 28, 2022","10:00p","Denver Nuggets",126,"Sacramento Kings",127,"Box Score",NA,17985,"Golden 1 Center",NA,126
"Fri, Dec 30, 2022","9:00p","Miami Heat",119,"Denver Nuggets",124,"Box Score",NA,19638,"Ball Arena",NA,124
"Sun, Jan 1, 2023","8:00p","Boston Celtics",111,"Denver Nuggets",123,"Box Score",NA,19641,"Ball Arena",NA,123
