"Winning_team","Losing_team","Winning","Losing"
"Boston Celtics","Philadelphia 76ers",126,117
"Golden State Warriors","Los Angeles Lakers",123,109
"Detroit Pistons","Orlando Magic",113,109
"Washington Wizards","Indiana Pacers",114,107
"Atlanta Hawks","Houston Rockets",117,107
"New Orleans Pelicans","Brooklyn Nets",130,108
"Memphis Grizzlies","New York Knicks",115,112
"Chicago Bulls","Miami Heat",116,108
"Toronto Raptors","Cleveland Cavaliers",108,105
"Minnesota Timberwolves","Oklahoma City Thunder",115,108
"Charlotte Hornets","San Antonio Spurs",129,102
"Utah Jazz","Denver Nuggets",123,102
"Phoenix Suns","Dallas Mavericks",107,105
"Portland Trail Blazers","Sacramento Kings",115,108
"Milwaukee Bucks","Philadelphia 76ers",90,88
"Los Angeles Clippers","Los Angeles Lakers",103,97
"New Orleans Pelicans","Charlotte Hornets",124,112
"San Antonio Spurs","Indiana Pacers",137,134
"Washington Wizards","Chicago Bulls",102,100
"Atlanta Hawks","Orlando Magic",108,98
"Brooklyn Nets","Toronto Raptors",109,105
"Boston Celtics","Miami Heat",111,104
"New York Knicks","Detroit Pistons",130,106
"Memphis Grizzlies","Houston Rockets",129,122
"Utah Jazz","Minnesota Timberwolves",132,126
"Denver Nuggets","Golden State Warriors",128,123
"Portland Trail Blazers","Phoenix Suns",113,111
"San Antonio Spurs","Philadelphia 76ers",114,105
"Indiana Pacers","Detroit Pistons",124,115
"Boston Celtics","Orlando Magic",126,120
"Cleveland Cavaliers","Chicago Bulls",128,96
"Miami Heat","Toronto Raptors",112,109
"Milwaukee Bucks","Houston Rockets",125,105
"Dallas Mavericks","Memphis Grizzlies",137,96
"Denver Nuggets","Oklahoma City Thunder",122,117
"Los Angeles Clippers","Sacramento Kings",111,109
"Portland Trail Blazers","Los Angeles Lakers",106,104
"Charlotte Hornets","Atlanta Hawks",126,109
"Cleveland Cavaliers","Washington Wizards",117,107
"Utah Jazz","New Orleans Pelicans",122,121
"Minnesota Timberwolves","Oklahoma City Thunder",116,106
"Golden State Warriors","Sacramento Kings",130,125
"Phoenix Suns","Los Angeles Clippers",112,95
"Philadelphia 76ers","Indiana Pacers",120,106
"Toronto Raptors","Miami Heat",98,90
"New York Knicks","Orlando Magic",115,102
"Chicago Bulls","Boston Celtics",120,102
"Houston Rockets","Utah Jazz",114,108
"Memphis Grizzlies","Brooklyn Nets",134,124
"San Antonio Spurs","Minnesota Timberwolves",115,106
"Portland Trail Blazers","Denver Nuggets",135,110
"Washington Wizards","Detroit Pistons",120,99
"New Orleans Pelicans","Dallas Mavericks",113,111
"Oklahoma City Thunder","Los Angeles Clippers",108,94
"Phoenix Suns","Golden State Warriors",134,105
"Cleveland Cavaliers","Orlando Magic",103,92
"Atlanta Hawks","Detroit Pistons",118,113
"Milwaukee Bucks","Brooklyn Nets",110,99
"New York Knicks","Charlotte Hornets",134,131
"Toronto Raptors","Philadelphia 76ers",119,109
"Chicago Bulls","Indiana Pacers",124,109
"Minnesota Timberwolves","San Antonio Spurs",134,122
"Utah Jazz","Houston Rockets",109,101
"Denver Nuggets","Los Angeles Lakers",110,99
"Miami Heat","Portland Trail Blazers",119,98
"Dallas Mavericks","Brooklyn Nets",129,125
"Oklahoma City Thunder","Los Angeles Clippers",118,110
"Golden State Warriors","Miami Heat",123,110
"Memphis Grizzlies","Sacramento Kings",125,110
"Atlanta Hawks","Detroit Pistons",136,112
"Orlando Magic","Charlotte Hornets",113,93
"Cleveland Cavaliers","Boston Celtics",132,123
"Philadelphia 76ers","Toronto Raptors",112,90
"Indiana Pacers","Washington Wizards",127,117
"Milwaukee Bucks","New York Knicks",119,108
"Minnesota Timberwolves","Los Angeles Lakers",111,102
"San Antonio Spurs","Chicago Bulls",129,124
"Denver Nuggets","Utah Jazz",117,101
"Phoenix Suns","New Orleans Pelicans",124,111
"Portland Trail Blazers","Houston Rockets",125,111
"Sacramento Kings","Miami Heat",119,113
"Charlotte Hornets","Golden State Warriors",120,113
"Indiana Pacers","Brooklyn Nets",125,116
"Philadelphia 76ers","Chicago Bulls",114,109
"Milwaukee Bucks","Atlanta Hawks",123,115
"Oklahoma City Thunder","Dallas Mavericks",117,111
"Utah Jazz","Memphis Grizzlies",124,123
"New Orleans Pelicans","Los Angeles Clippers",112,91
"Boston Celtics","Washington Wizards",112,94
"Cleveland Cavaliers","New York Knicks",121,108
"Detroit Pistons","Golden State Warriors",128,114
"San Antonio Spurs","Minnesota Timberwolves",107,98
"Dallas Mavericks","Orlando Magic",114,105
