"x1","x2","price"
32,7,37.9
19.5,0,42.2
13.3,0,47.3
13.3,0,54.8
5,0,43.1
7.1,0,32.1
34.5,9.5,40.3
20.3,0,46.7
31.7,6.7,18.8
17.9,0,22.1
34.8,9.8,41.4
6.3,0,58.1
13,0,39.3
20.4,0,23.8
13.2,0,34.3
35.7,10.7,50.5
0,0,70.1
17.7,0,37.4
16.9,0,42.3
1.5,0,47.7
4.5,0,29.3
10.5,0,51.6
14.7,0,24.6
10.1,0,47.9
39.6,14.6,38.8
29.3,4.3,27
3.1,0,56.2
10.4,0,33.6
19.2,0,47
7.1,0,57.1
25.9,0.899999999999999,22.1
29.6,4.6,25
37.9,12.9,34.2
16.5,0,49.3
15.4,0,55.1
13.9,0,27.3
14.7,0,22.9
12,0,25.3
3.1,0,47.7
16.2,0,46.2
13.6,0,15.9
16.8,0,18.2
36.1,11.1,34.7
34.4,9.4,34.1
2.7,0,53.9
36.6,11.6,38.3
21.7,0,42
35.9,10.9,61.5
24.2,0,13.4
29.4,4.4,13.2
21.7,0,44.2
31.3,6.3,20.7
32.1,7.1,27
13.3,0,38.9
16.1,0,51.7
31.7,6.7,13.7
33.6,8.6,41.9
3.5,0,53.5
30.3,5.3,22.6
13.3,0,42.4
11,0,21.3
5.3,0,63.2
17.2,0,27.7
2.6,0,55
17.5,0,25.3
40.1,15.1,44.3
1,0,50.7
8.5,0,56.8
30.4,5.4,36.2
12.5,0,42
6.6,0,59
35.5,10.5,40.8
32.5,7.5,36.3
13.8,0,20
6.8,0,54.4
12.3,0,29.5
35.9,10.9,36.8
20.5,0,25.6
38.2,13.2,29.8
18,0,26.5
11.8,0,40.3
30.8,5.8,36.8
13.2,0,48.1
25.3,0.300000000000001,17.7
15.1,0,43.7
0,0,50.8
1.8,0,27
16.9,0,18.3
8.9,0,48
23,0,25.3
0,0,45.4
9.1,0,43.2
20.6,0,21.8
31.9,6.9,16.1
40.9,15.9,41
8,0,51.8
6.4,0,59.5
28.4,3.4,34.6
16.4,0,51
6.4,0,62.2
17.5,0,38.2
12.7,0,32.9
1.1,0,54.4
0,0,45.7
32.7,7.7,30.5
0,0,71
17.2,0,47.1
12.2,0,26.6
31.4,6.4,34.1
4,0,28.4
8.1,0,51.6
33.3,8.3,39.4
9.9,0,23.1
14.8,0,7.6
30.6,5.6,53.3
20.6,0,46.4
30.9,5.9,12.2
13.6,0,13
25.3,0.300000000000001,30.6
16.6,0,59.6
13.3,0,31.3
13.6,0,48
31.5,6.5,32.5
0,0,45.5
9.9,0,57.4
1.1,0,48.6
38.6,13.6,62.9
3.8,0,55
41.3,16.3,60.7
38.5,13.5,41
