"Month","Arrivals"
2019-12-01,1724961
2019-11-01,1533668
2019-10-01,1530479
2019-09-01,1463543
2019-08-01,1736102
2019-07-01,1802593
2019-06-01,1551847
2019-05-01,1487791
2019-04-01,1596724
2019-03-01,1564664
2019-02-01,1499051
2019-01-01,1624593
2018-12-01,1603217
2018-11-01,1406985
2018-10-01,1467380
2018-09-01,1415149
2018-08-01,1683122
2018-07-01,1732896
2018-06-01,1544679
2018-05-01,1470891
2018-04-01,1544248
2018-03-01,1584406
2018-02-01,1491970
2018-01-01,1563359
2017-12-01,1569616
2017-11-01,1397330
2017-10-01,1402299
2017-09-01,1320050
2017-08-01,1559283
2017-07-01,1632135
2017-06-01,1387601
2017-05-01,1363897
2017-04-01,1470750
2017-03-01,1480161
2017-02-01,1361010
2017-01-01,1480479
2016-12-01,1506134
2016-11-01,1235433
2016-10-01,1237675
2016-09-01,1144063
2016-08-01,1481876
2016-07-01,1622405
2016-06-01,1270531
2016-05-01,1357543
2016-04-01,1393972
2016-03-01,1406607
2016-02-01,1335097
2016-01-01,1412123
2015-12-01,NA
2015-11-01,1203992
2015-10-01,1246947
2015-09-01,1131976
2015-08-01,1445062
2015-07-01,1519233
2015-06-01,1184747
2015-05-01,1222836
2015-04-01,1208624
2015-03-01,1201648
2015-02-01,1188818
2015-01-01,1252608
2014-12-01,1360541
2014-11-01,NA
2014-10-01,1203527
2014-09-01,1098626
2014-08-01,NA
2014-07-01,1408400
2014-06-01,1181422
2014-05-01,1208532
2014-04-01,1245307
2014-03-01,1297551
2014-02-01,1238239
2014-01-01,1345842
2013-12-01,1367404
2013-11-01,1184002
2013-10-01,1203746
2013-09-01,1176142
2013-08-01,1483520
2013-07-01,1419657
2013-06-01,1288950
2013-05-01,1288282
2013-04-01,1274246
2013-03-01,1368891
2013-02-01,1221365
2013-01-01,1291718
2012-12-01,1360536
2012-11-01,1212079
2012-10-01,1192580
2012-09-01,NA
2012-08-01,1313604
2012-07-01,1283611
2012-06-01,1157739
2012-05-01,1146448
2012-04-01,NA
2012-03-01,1243133
2012-02-01,1134554
2012-01-01,1198507
2011-12-01,1216637
2011-11-01,1027787
2011-10-01,1085193
2011-09-01,1033747
2011-08-01,1178511
2011-07-01,1273870
2011-06-01,1080066
2011-05-01,1054104
2011-04-01,1103320
2011-03-01,1071960
2011-02-01,990118
2011-01-01,1055990
2010-12-01,1127581
2010-11-01,964170
2010-10-01,978913
2010-09-01,947585
2010-08-01,996899
2010-07-01,1095047
2010-06-01,951032
2010-05-01,946676
2010-04-01,939013
2010-03-01,928903
2010-02-01,857387
2010-01-01,908495
2009-12-01,972233
